symbol,year,quarter,quarter_str,transcript_id,transcript_date,company_name,sector,industry,transcript_length,return_30d
VST,2017,2,2017Q2,11692,2017-08-04,Vistra Corp.,Utilities,Independent Power Producers,62689,11.1867
VTR,2017,2,2017Q2,14010,2017-07-28,Ventas,Real Estate,REIT - Healthcare Facilities,51843,2.9224
VTRS,2017,2,2017Q2,14624,2017-08-09,Viatris,Healthcare,Drug Manufacturers - Specialty & Generic,57239,-1.7301
WAT,2017,2,2017Q2,14852,2017-07-25,Waters Corporation,Healthcare,Medical - Diagnostics & Research,52583,-0.5946
WDC,2017,2,2017Q2,13974,2017-01-25,Western Digital,Technology,Computer Hardware,43307,-6.2841
WFC,2017,2,2017Q2,22438,2017-07-14,Wells Fargo,Financial Services,Banks - Diversified,81324,-6.8885
WM,2017,2,2017Q2,16829,2017-07-26,Waste Management,Industrials,Waste Management,73821,0.5817
WMB,2017,2,2017Q2,22474,2017-08-03,Williams Companies,Energy,Oil & Gas Midstream,46935,-4.2351
WRB,2017,2,2017Q2,12326,2017-07-25,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,31256,-13.3707
WST,2017,2,2017Q2,12218,2017-07-30,West Pharmaceutical Services,Healthcare,Medical - Instruments & Supplies,39161,1.9654
WYNN,2017,2,2017Q2,14058,2017-07-25,Wynn Resorts,Consumer Cyclical,"Gambling, Resorts & Casinos",42452,4.8712
XEL,2017,2,2017Q2,23234,2017-07-27,Xcel Energy,Utilities,Regulated Electric,37031,6.2619
XOM,2017,2,2017Q2,23246,2017-07-28,ExxonMobil,Energy,Oil & Gas Integrated,78184,-1.9547
XYL,2017,2,2017Q2,13709,2017-08-01,Xylem Inc.,Industrials,Industrial - Machinery,62356,11.07
XYZ,2017,2,2017Q2,11557,2017-08-02,"Block, Inc.",Technology,Software - Infrastructure,49348,6.8258
ZBH,2017,2,2017Q2,14913,2017-07-30,Zimmer Biomet,Healthcare,Medical - Devices,54748,-5.9377
ZTS,2017,2,2017Q2,13490,2017-08-08,Zoetis,Healthcare,Drug Manufacturers - Specialty & Generic,49695,4.2859
ABBV,2017,3,2017Q3,13525,2017-10-27,AbbVie,Healthcare,Drug Manufacturers - General,81440,7.7155
ACGL,2017,3,2017Q3,11877,2017-10-28,Arch Capital Group,Financial Services,Insurance - Diversified,67193,-7.491
ACN,2017,3,2017Q3,13745,2017-06-22,Accenture,Technology,Information Technology Services,55467,2.431
ADBE,2017,3,2017Q3,17047,2017-09-19,Adobe Inc.,Technology,Software - Infrastructure,55061,12.5479
ADM,2017,3,2017Q3,22643,2017-10-31,Archer Daniels Midland,Consumer Defensive,Agricultural Farm Products,58270,-6.4471
ADP,2017,3,2017Q3,22257,2017-05-03,Automatic Data Processing,Industrials,Staffing & Employment Services,71461,-1.7691
ADSK,2017,3,2017Q3,17320,2016-11-29,Autodesk,Technology,Software - Application,53386,8.0521
AEE,2017,3,2017Q3,17307,2017-11-03,Ameren,Utilities,Regulated Electric,52308,-3.0648
AES,2017,3,2017Q3,16804,2017-11-02,AES Corporation,Utilities,Diversified Utilities,50272,2.176
AFL,2017,3,2017Q3,16756,2017-10-26,Aflac,Financial Services,Insurance - Life,43758,4.8525
AIZ,2017,3,2017Q3,14321,2017-11-03,Assurant,Financial Services,Insurance - Specialty,23640,-1.4869
